STATE_CODE,GENERATION,STATE
AK,5943530.0,Alaska
AL,142955133.0,Alabama
AR,60230137.0,Arkansas
AZ,108608535.0,Arizona
CA,196727116.0,California
CO,56737727.0,Colorado
CT,44123575.0,Connecticut
DC,218241.0,District of Columbia
DE,4039976.0,Delaware
FL,244401038.0,Florida
GA,126530745.0,Georgia
HI,9188089.0,Hawaii
IA,66120266.0,Iowa
ID,16948581.0,Idaho
IL,181859377.0,Illinois
IN,94565161.0,Indiana
KS,56745956.0,Kansas
KY,70554259.0,Kentucky
LA,98061967.0,Louisiana
MA,19366993.0,Massachusetts
MD,39719296.0,Maryland
ME,10952775.0,Maine
MI,116045383.0,Michigan
MN,59628025.0,Minnesota
MO,77815983.0,Missouri
MS,68713324.0,Mississippi
MT,24466637.0,Montana
NC,131262686.0,North Carolina
ND,42705232.0,North Dakota
NE,38644643.0,Nebraska
NH,17434999.0,New Hampshire
NJ,61386527.0,New Jersey
NM,35271296.0,New Mexico
NV,41880191.0,Nevada
NY,125226026.0,New York
OH,123335613.0,Ohio
OK,80564122.0,Oklahoma
OR,61081837.0,Oregon
PA,241648365.0,Pennsylvania
RI,8035017.0,Rhode Island
SC,99924409.0,South Carolina
SD,17834631.0,South Dakota
TN,81478887.0,Tennessee
TX,483561769.0,Texas
UT,42656775.0,Utah
VA,94309019.0,Virginia
VT,2147738.0,Vermont
WA,109122726.0,Washington
WI,65478679.0,Wisconsin
WV,65630564.0,West Virginia
WY,43650676.0,Wyoming
