GENERATION,MONTH,STATE_CODE,State
516962.0,1,AK,Alaska
484039.0,2,AK,Alaska
455932.0,3,AK,Alaska
418125.0,4,AK,Alaska
411978.0,5,AK,Alaska
531321.0,6,AK,Alaska
560241.0,7,AK,Alaska
570720.0,8,AK,Alaska
460316.0,9,AK,Alaska
470063.0,10,AK,Alaska
509618.0,11,AK,Alaska
554213.0,12,AK,Alaska
12437071.0,1,AL,Alabama
11205731.0,2,AL,Alabama
10460787.0,3,AL,Alabama
9070791.0,4,AL,Alabama
11236484.0,5,AL,Alabama
12169896.0,6,AL,Alabama
13641306.0,7,AL,Alabama
13937140.0,8,AL,Alabama
12263548.0,9,AL,Alabama
11897593.0,10,AL,Alabama
12430608.0,11,AL,Alabama
12204183.0,12,AL,Alabama
5219341.0,1,AR,Arkansas
4482798.0,2,AR,Arkansas
4561694.0,3,AR,Arkansas
3792933.0,4,AR,Arkansas
3999507.0,5,AR,Arkansas
5764195.0,6,AR,Arkansas
6473704.0,7,AR,Arkansas
6643288.0,8,AR,Arkansas
5721982.0,9,AR,Arkansas
4821257.0,10,AR,Arkansas
4128279.0,11,AR,Arkansas
4621158.0,12,AR,Arkansas
8689647.0,1,AZ,Arizona
6918909.0,2,AZ,Arizona
7981800.0,3,AZ,Arizona
8044688.0,4,AZ,Arizona
8851834.0,5,AZ,Arizona
10663748.0,6,AZ,Arizona
11713549.0,7,AZ,Arizona
11498006.0,8,AZ,Arizona
10115012.0,9,AZ,Arizona
8511808.0,10,AZ,Arizona
7410368.0,11,AZ,Arizona
8209164.0,12,AZ,Arizona
13501478.0,1,CA,California
12302875.0,2,CA,California
14286088.0,3,CA,California
14769968.0,4,CA,California
16306001.0,5,CA,California
18463000.0,6,CA,California
21903460.0,7,CA,California
20631178.0,8,CA,California
18078707.0,9,CA,California
16376957.0,10,CA,California
14872424.0,11,CA,California
15234969.0,12,CA,California
4848930.0,1,CO,Colorado
4568777.0,2,CO,Colorado
4669512.0,3,CO,Colorado
4279299.0,4,CO,Colorado
4214582.0,5,CO,Colorado
5034249.0,6,CO,Colorado
5595931.0,7,CO,Colorado
5499518.0,8,CO,Colorado
4662011.0,9,CO,Colorado
4186754.0,10,CO,Colorado
4271071.0,11,CO,Colorado
4907084.0,12,CO,Colorado
3652864.0,1,CT,Connecticut
3507148.0,2,CT,Connecticut
3738943.0,3,CT,Connecticut
3214657.0,4,CT,Connecticut
3481474.0,5,CT,Connecticut
3726065.0,6,CT,Connecticut
4053643.0,7,CT,Connecticut
4256341.0,8,CT,Connecticut
3722138.0,9,CT,Connecticut
2995826.0,10,CT,Connecticut
3935668.0,11,CT,Connecticut
3838804.0,12,CT,Connecticut
18510.0,1,DC,District of Columbia
16804.0,2,DC,District of Columbia
18290.0,3,DC,District of Columbia
